persistent_identifier,dataset_type,title,contact_owner,contact_originator,contact_metadata,contact_PointOfContact,contact_PrincipalInvestigator,contact_publisher,contact_processor,contact_data_structure_definition,subject,description,format,langage,rights,source,lineage,supplemental_information,database_table_name,database_view_name,path_to_codelists_used_in_dataset,path_to_script_dataset_generation,parameter_include_IOTC,parameter_include_ICCAT,parameter_include_IATTC,parameter_include_WCPFC,parameter_include_CCSBT,parameter_datasets_year_release,parameter_iccat_include_type_of_school,parameter_iattc_raise_flags_to_schooltype,parameter_iattc_dimension_to_use_if_no_raising_flags_to_schooltype,parameter_mapping_map_code_lists,parameter_mapping_csv_mapping_datasets_url,parameter_mapping_keep_src_code,parameter_gear_filter,parameter_unit_conversion_convert,parameter_unit_conversion_csv_conversion_factor_url,parameter_unit_conversion_codelist_geoidentifiers_conversion_factors,parameter_raising_georef_to_nominal,parameter_aggregate_on_5deg_data_with_resolution_inferior_to_5deg,parameter_disaggregate_on_5deg_data_with_resolution_superior_to_5deg,parameter_disaggregate_on_1deg_data_with_resolution_superior_to_1deg,parameter_spatial_curation_data_mislocated,parameter_overlapping_zone_iattc_wcpfc_data_to_keep,parameter_SBF_data_rfmo_to_keep
atlantic_ocean_catch_5deg_1m_tunaatlasird_level0,raw_dataset,"Monthly catch of tuna, tuna-like and shark species in the Atlantic Ocean (%year_start%-%year_end%) aggregated by 5° squares (IRD level 0)",ird@ird.fr,@@automatically generated@@,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,"This dataset lists catch of tuna, tuna-like and shark species in the Atlantic Ocean from %year_start% to %year_end%. Catches are stratified by year, month, species, gear, vessel flag reporting country, fishing mode (i.e. type of school used), area (mainly 5° square resolution) and unit of catch (weight or number). This dataset was generated using public domain datasets released by the International Commission for the Conservation of Atlantic Tunas (ICCAT). IRD Level 0 stands for the processes applied to the primary datasets by the French National Research Institute for Sustainable Development (IRD) to generate the dataset. Data are expressed using ICCAT's coding system.",,,,IRD,@@automatically generated@@,,fact_tables.catch,tunaatlas_ird.atl_catch_5deg_1m_tunaatlasIRD_level0,NA,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/create_own_tuna_atlas/create_own_tuna_atlas_catch_effort.R,FALSE,TRUE,FALSE,FALSE,FALSE,2017,TRUE,NULL,NULL,FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,FALSE,TRUE,none,none,no_reallocation,NULL,NULL
atlantic_ocean_catch_5deg_1m_tunaatlasird_level1,raw_dataset,"Monthly catch of tuna, tuna-like and shark species in the Atlantic Ocean (%year_start%-%year_end%) aggregated by 5° squares (IRD level 1)",ird@ird.fr,@@automatically generated@@,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,"This dataset lists catch of tuna, tuna-like and shark species in the Atlantic Ocean from %year_start% to %year_end%. Catches are stratified by year, month, species, gear, vessel flag reporting country, fishing mode (i.e. type of school used), area (5° square resolution) and unit of catch (weight or number). This dataset was generated using public domain datasets released by the International Commission for the Conservation of Atlantic Tunas (ICCAT). IRD Level 1 stands for the processes applied to the primary datasets by the French National Research Institute for Sustainable Development (IRD) to generate the dataset. Data are expressed using ICCAT's coding system.",,,,IRD,@@automatically generated@@,,fact_tables.catch,tunaatlas_ird.atl_catch_5deg_1m_tunaatlasIRD_level1,NA,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/create_own_tuna_atlas/create_own_tuna_atlas_catch_effort.R,FALSE,TRUE,FALSE,FALSE,FALSE,2017,TRUE,NULL,NULL,FALSE,NULL,NULL,NULL,TRUE,https://goo.gl/KriwxV,areas_conversion_factors_numtoweigth_ird,FALSE,TRUE,disaggregate,none,reallocate,NULL,NULL
atlantic_ocean_catch_5deg_1m_tunaatlasird_level2,raw_dataset,"Monthly catch of tuna, tuna-like and shark species in the Atlantic Ocean (%year_start%-%year_end%) aggregated by 5° squares (IRD level 2)",ird@ird.fr,@@automatically generated@@,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,"This dataset lists catch of tuna, tuna-like and shark species in the Atlantic Ocean from %year_start% to %year_end%. Catches are stratified by year, month, species, gear, vessel flag reporting country, fishing mode (i.e. type of school used), area (5° square resolution) and unit of catch (weight or number). This dataset was generated using public domain datasets released by the International Commission for the Conservation of Atlantic Tunas (ICCAT). IRD Level 2 stands for the processes applied to the primary datasets by the French National Research Institute for Sustainable Development (IRD) to generate the dataset. Data are expressed using ICCAT's coding system.",,,,IRD,@@automatically generated@@,,fact_tables.catch,tunaatlas_ird.atl_catch_5deg_1m_tunaatlasIRD_level2,NA,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/create_own_tuna_atlas/create_own_tuna_atlas_catch_effort.R,FALSE,TRUE,FALSE,FALSE,FALSE,2017,TRUE,NULL,NULL,FALSE,NULL,NULL,NULL,TRUE,https://goo.gl/KriwxV,areas_conversion_factors_numtoweigth_ird,TRUE,TRUE,disaggregate,none,reallocate,NULL,NULL
atlantic_ocean_catch_tunaatlasird_level0,raw_dataset,"Monthly catch of tuna, tuna-like and shark species in the Atlantic Ocean (%year_start%-%year_end%) aggregated by 1° or 5° squares (IRD level 0)",ird@ird.fr,@@automatically generated@@,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,"This dataset lists catch of tuna, tuna-like and shark species in the Atlantic Ocean from %year_start% to %year_end%. Catches are stratified by year, month, species, gear, vessel flag reporting country, fishing mode (i.e. type of school used), area (1° or 5° square resolution) and unit of catch (weight or number). This dataset was generated using public domain datasets released by the International Commission for the Conservation of Atlantic Tunas (ICCAT). IRD Level 0 stands for the processes applied to the primary datasets by the French National Research Institute for Sustainable Development (IRD) to generate the dataset. Data are expressed using ICCAT's coding system.",,,,IRD,@@automatically generated@@,,fact_tables.catch,tunaatlas_ird.atl_catch_tunaatlasIRD_level0,NA,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/create_own_tuna_atlas/create_own_tuna_atlas_catch_effort.R,FALSE,TRUE,FALSE,FALSE,FALSE,2017,TRUE,NULL,NULL,FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,FALSE,FALSE,none,none,no_reallocation,NULL,NULL
atlantic_ocean_catch_tunaatlasird_level1,raw_dataset,"Monthly catch of tuna, tuna-like and shark species in the Atlantic Ocean (%year_start%-%year_end%) aggregated by 1° or 5° squares (IRD level 1)",ird@ird.fr,@@automatically generated@@,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,"This dataset lists catch of tuna, tuna-like and shark species in the Atlantic Ocean from %year_start% to %year_end%. Catches are stratified by year, month, species, gear, vessel flag reporting country, fishing mode (i.e. type of school used), area (1° or 5° square resolution) and unit of catch (weight or number). This dataset was generated using public domain datasets released by the International Commission for the Conservation of Atlantic Tunas (ICCAT). IRD Level 1 stands for the processes applied to the primary datasets by the French National Research Institute for Sustainable Development (IRD) to generate the dataset. Data are expressed using ICCAT's coding system.",,,,IRD,@@automatically generated@@,,fact_tables.catch,tunaatlas_ird.atl_catch_tunaatlasIRD_level1,NA,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/create_own_tuna_atlas/create_own_tuna_atlas_catch_effort.R,FALSE,TRUE,FALSE,FALSE,FALSE,2017,TRUE,NULL,NULL,FALSE,NULL,NULL,NULL,TRUE,https://goo.gl/KriwxV,areas_conversion_factors_numtoweigth_ird,FALSE,FALSE,none,none,reallocate,NULL,NULL
atlantic_ocean_catch_tunaatlasird_level2,raw_dataset,"Monthly catch of tuna, tuna-like and shark species in the Atlantic Ocean (%year_start%-%year_end%) aggregated by 1° or 5° squares (IRD level 2)",ird@ird.fr,@@automatically generated@@,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,"This dataset lists catch of tuna, tuna-like and shark species in the Atlantic Ocean from %year_start% to %year_end%. Catches are stratified by year, month, species, gear, vessel flag reporting country, fishing mode (i.e. type of school used), area (1° or 5° square resolution) and unit of catch (weight or number). This dataset was generated using public domain datasets released by the International Commission for the Conservation of Atlantic Tunas (ICCAT). IRD Level 2 stands for the processes applied to the primary datasets by the French National Research Institute for Sustainable Development (IRD) to generate the dataset. Data are expressed using ICCAT's coding system.",,,,IRD,@@automatically generated@@,,fact_tables.catch,tunaatlas_ird.atl_catch_tunaatlasIRD_level2,NA,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/create_own_tuna_atlas/create_own_tuna_atlas_catch_effort.R,FALSE,TRUE,FALSE,FALSE,FALSE,2017,TRUE,NULL,NULL,FALSE,NULL,NULL,NULL,TRUE,https://goo.gl/KriwxV,areas_conversion_factors_numtoweigth_ird,TRUE,FALSE,none,none,reallocate,NULL,NULL
east_pacific_ocean_catch_5deg_1m_tunaatlasird_level0,raw_dataset,"Monthly catch of tuna, tuna-like and shark species in the East Pacific Ocean (%year_start%-%year_end%) aggregated by 5° squares (IRD level 0)",ird@ird.fr,@@automatically generated@@,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,"This dataset lists catch of tuna, tuna-like and shark species in the East Pacific ocean from %year_start% to %year_end%. Catches are stratified by month, species, gear, vessel flag reporting country, fishing mode (i.e. type of school used), area (mainly 5° square) and unit of catch (weight or number). This dataset was computed using public domain datasets released by the Inter American Tropical Tuna Commission (IATTC). IRD Level 0 stands for the processes applied to the primary datasets by the French National Research Institute for Sustainable Development (IRD) to generate the dataset. Data are expressed using IATTC's coding system.",,,,IRD,@@automatically generated@@,,fact_tables.catch,tunaatlas_ird.epo_catch_5deg_1m_tunaatlasIRD_level0,NA,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/create_own_tuna_atlas/create_own_tuna_atlas_catch_effort.R,FALSE,FALSE,TRUE,FALSE,FALSE,2017,NULL,TRUE,NULL,FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,FALSE,TRUE,none,none,no_reallocation,NULL,NULL
east_pacific_ocean_catch_5deg_1m_tunaatlasird_level1,raw_dataset,"Monthly catch of tuna, tuna-like and shark species in the East Pacific Ocean (%year_start%-%year_end%) aggregated by 5° squares (IRD level 1)",ird@ird.fr,@@automatically generated@@,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,"This dataset lists catch of tuna, tuna-like and shark species in the East Pacific ocean from %year_start% to %year_end%. Catches are stratified by month, species, gear, vessel flag reporting country, fishing mode (i.e. type of school used), area (5° square) and unit of catch (weight or number). This dataset was computed using public domain datasets released by the Inter American Tropical Tuna Commission (IATTC). IRD Level 1 stands for the processes applied to the primary datasets by the French National Research Institute for Sustainable Development (IRD) to generate the dataset. Data are expressed using IATTC's coding system.",,,,IRD,@@automatically generated@@,,fact_tables.catch,tunaatlas_ird.epo_catch_5deg_1m_tunaatlasIRD_level1,NA,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/create_own_tuna_atlas/create_own_tuna_atlas_catch_effort.R,FALSE,FALSE,TRUE,FALSE,FALSE,2017,NULL,TRUE,NULL,FALSE,NULL,NULL,NULL,TRUE,https://goo.gl/KriwxV,areas_conversion_factors_numtoweigth_ird,FALSE,TRUE,disaggregate,none,reallocate,NULL,NULL
east_pacific_ocean_catch_5deg_1m_tunaatlasird_level2,raw_dataset,"Monthly catch of tuna, tuna-like and shark species in the East Pacific Ocean (%year_start%-%year_end%) aggregated by 5° squares (IRD level 2)",ird@ird.fr,@@automatically generated@@,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,"This dataset lists catch of tuna, tuna-like and shark species in the East Pacific ocean from %year_start% to %year_end%. Catches are stratified by month, species, gear, vessel flag reporting country, fishing mode (i.e. type of school used), area (5° square) and unit of catch (weight or number). This dataset was computed using public domain datasets released by the Inter American Tropical Tuna Commission (IATTC). IRD Level 2 stands for the processes applied to the primary datasets by the French National Research Institute for Sustainable Development (IRD) to generate the dataset. Data are expressed using IATTC's coding system.",,,,IRD,@@automatically generated@@,,fact_tables.catch,tunaatlas_ird.epo_catch_5deg_1m_tunaatlasIRD_level2,NA,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/create_own_tuna_atlas/create_own_tuna_atlas_catch_effort.R,FALSE,FALSE,TRUE,FALSE,FALSE,2017,NULL,TRUE,NULL,FALSE,NULL,NULL,NULL,TRUE,https://goo.gl/KriwxV,areas_conversion_factors_numtoweigth_ird,TRUE,TRUE,disaggregate,none,reallocate,NULL,NULL
east_pacific_ocean_catch_tunaatlasird_level0,raw_dataset,"Monthly catch of tuna, tuna-like and shark species in the East Pacific Ocean (%year_start%-%year_end%) aggregated by 1° or 5° squares (IRD level 0)",ird@ird.fr,@@automatically generated@@,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@fao.org,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,"This dataset lists catch of tuna, tuna-like and shark species in the East Pacific ocean from %year_start% to %year_end%. Catches are stratified by month, species, gear, vessel flag reporting country, fishing mode (i.e. type of school used), area (1° or 5° square) and unit of catch (weight or number). This dataset was computed using public domain datasets released by the Inter American Tropical Tuna Commission (IATTC). IRD Level 0 stands for the processes applied to the primary datasets by the French National Research Institute for Sustainable Development (IRD) to generate the dataset. Data are expressed using IATTC's coding system.",,,,IRD,@@automatically generated@@,,fact_tables.catch,tunaatlas_ird.epo_catch_tunaatlasIRD_level0,NA,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/create_own_tuna_atlas/create_own_tuna_atlas_catch_effort.R,FALSE,FALSE,TRUE,FALSE,FALSE,2017,NULL,TRUE,NULL,FALSE,NULL,NULL,NULL,FALSE,NULL,NULL,FALSE,FALSE,none,none,no_reallocation,NULL,NULL
